Pilot Station, AK (PPQS)
Pittsburgh, PA (KPIT)
Platinum, AK (PPTU)
Plattsburgh, NY (KPLB)
Pocatello, ID (KPIH)
Point Baker, AK (PKPB)
Point Hope, AK (PPHO)
Point Lay, AK (PPIZ)
Ponca City, OK (KPNC)
Ponce, Puerto Rico (KPSE)
Port Alsworth, AK (PPTA)
Port Angeles, WA (KCLM)
Port Arthur/Beaumont, TX (KBPT)
Port Clarence, AK (PKPC)
Port Heiden, AK (PPTH)
Port Moller, AK (PPML)
Port Protection, AK (PPPV)
Portage Creek, AK (PPCA)
Portland, ME (KPWM)
Portland, OR (KPDX)
Portsmouth, NH (KPSM)
Poughkeepsie, NY (KPOU)
Prescott, AZ (KPRC)
Presque Isle, ME (KPQI)
Princeton, WV (KBLF)
Providence, RI (KPVD)
Provincetown, MA (KPVC)
Prudhoe Bay/Deadhorse, AK (PSCC)
Pueblo, CO (KPUB)
Pullman, WA (KPUW)
Quincy, IL (KUIN)
Quinhagak, AK (PKWN)
Raleigh/Durham, NC (KRDU)
Rampart, AK (PRMP)
Rapid City, SD (KRAP)
Reading, PA (KRDG)
Red Devil, AK (PRDV)
Redding, CA (KRDD)
Redmond, OR (KRDM)
Reno, NV (KRNO)
Rhinelander, WI, (PRHI)
Richmond, VA (KRIC)
Riverton, WY (KRIW)
Roanoke, VA (KROA)
Roche Harbor, WA (KRCE)
Rochester, MN (KRST)
Rochester, NY (KROC)
Rock Springs, WY (KRKS)
Rockford, IL Park&Ride Bus (KZRF)
Rockford, IL Van Galder Bus (KZRK)
Rockland, ME (KRKD)
Rosario, WA (KRSJ)
Roswell, NM (KROW)
Ruby, AK (PRBY)
Russian Mission, AK (PRSH)
Rutland, VT (KRUT)
Sacramento, CA (KSMF)
Saginaw, MI (KMBS)
Saint Cloud, MN (KSTC)
Saint George Island, AK (PSTG)
Saint George, UT (KSGU)
Saint Louis, MO (KSTL)
Saint Mary’s, AK (PKSM)
Saint Michael, AK (PSMK)
Saint Paul Island, AK (PSNP)
Salem, OR (KSLE)
Salina, KS (KSLN)
Salisbury Ocean City, MD (KSBY)
Salt Lake City, UT (KSLC)
San Angelo, TX (KSJT)
San Antonio, TX (KSAT)
